timestamp,asset,action,side,entry_price,exit_price,size,pnl,duration_sec,time_remaining,prob_at_entry,prob_at_exit,binance_change
2026-01-12T03:33:58.826051,BTC,BUY,UP,0.045,0.045,50.0,0.0,0.505808,0.7352006433333333,0.045,0.045,0.0
2026-01-12T03:33:58.827979,XRP,SELL,DOWN,0.875,0.125,50.0,0.0,0.506095,0.7352006433333333,0.125,0.125,0.0
2026-01-12T03:33:59.839654,BTC,BUY,UP,0.045,0.045,50.0,0.0,0.504225,0.73407276,0.045,0.045,0.0
2026-01-12T03:34:00.345491,ETH,BUY,UP,0.045,0.045,50.0,0.0,2.024498,0.7352006433333333,0.045,0.045,0.0
2026-01-12T03:34:00.851284,BTC,BUY,UP,0.045,0.045,50.0,0.0,0.506474,0.7329510944444444,0.045,0.045,0.0
2026-01-12T03:34:00.852889,SOL,BUY,UP,0.035,0.035,50.0,0.0,1.516419,0.73407276,0.035,0.035,0.0
2026-01-12T03:34:01.356734,XRP,BUY,UP,0.125,0.095,50.0,-12.0,2.019784,0.73407276,0.125,0.095,0.0
2026-01-12T03:34:01.865162,ETH,SELL,DOWN,0.965,0.035,48.40625,0.0,0.509612,0.7318284311111111,0.035,0.035,0.0
2026-01-12T03:34:02.370817,BTC,SELL,DOWN,0.965,0.035,47.946875,0.0,0.507796,0.7312646522222223,0.035,0.035,0.0
2026-01-12T03:34:03.389701,BTC,BUY,UP,0.035,0.035,47.40021875,0.0,0.514426,0.7301394200000001,0.035,0.035,0.0
2026-01-12T03:34:03.391745,XRP,BUY,UP,0.1,0.105,50.0,2.499999999999995,1.525315,0.7312646522222223,0.1,0.105,0.0
2026-01-12T03:34:03.895657,ETH,BUY,UP,0.03,0.025,48.5628125,-8.09380208333333,1.52383,0.73070005,0.03,0.025,0.0
2026-01-12T03:34:04.400624,BTC,BUY,UP,0.035,0.035,46.38853426015353,0.0,0.505765,0.7290066888888889,0.035,0.035,0.0
2026-01-12T03:34:04.907742,XRP,BUY,UP,0.105,0.105,46.16565912771414,0.0,1.010854,0.7290066888888889,0.105,0.105,0.0
2026-01-12T03:34:05.412523,ETH,SELL,DOWN,0.965,0.035,42.19259211361657,0.0,0.505915,0.7278830177777778,0.035,0.035,0.0
2026-01-12T03:34:05.915410,BTC,BUY,UP,0.035,0.035,45.84853856411522,0.0,1.009406,0.7278830177777778,0.035,0.035,0.0
2026-01-12T03:34:05.917478,XRP,BUY,UP,0.105,0.1,43.494371250625015,-2.0711605357440446,0.50347,0.7273210922222222,0.105,0.1,0.0
2026-01-12T03:34:06.933539,BTC,BUY,UP,0.035,0.035,45.37700166112513,0.0,0.508576,0.7261952988888889,0.035,0.035,0.0
2026-01-12T03:34:13.158229,ETH,BUY,UP,0.035,0.035,40.26274283302887,0.0,6.223705,0.7256303733333332,0.035,0.035,0.0
2026-01-12T03:34:13.159278,SOL,SELL,DOWN,0.975,0.025,47.30340270931147,0.0,7.24246,0.7267617611111111,0.025,0.025,0.0
2026-01-12T03:34:13.666392,XRP,BUY,UP,0.1,0.115,42.827372081912195,6.424105812286829,7.239699,0.7261952988888889,0.1,0.115,0.0
2026-01-12T03:34:14.170249,ETH,BUY,UP,0.035,0.035,41.41290725271401,0.0,0.506303,0.71815357,0.035,0.035,0.0
